,ID,Timestamp,Age,Primary streaming service,Primary streaming service Indicator,Hours per day,While working,While working Indicator,Instrumentalist,Instrumentalist Indicator,Composer,Composer Indicator,Fav genre,Fav genre Indicator,Exploratory,Exploratory Indicator,Foreign languages,Foreign languages Indicator,BPM,Frequency [Classical],Classical F Indicator,Frequency [Country],Country F Indicator,Frequency [EDM],EDM F Indicator,Frequency [Folk],Folk F Indicator,Frequency [Gospel],Gospel F Indicator,Frequency [Hip hop],Hip hop F Indicator,Frequency [Jazz],Jazz F Indicator,Frequency [K pop],K pop F Indicator,Frequency [Latin],Latin F Indicator,Frequency [Lofi],Lofi F Indicator,Frequency [Metal],Metal F Indicator,Frequency [Pop],Pop F Indicator,Frequency [R&B],R&B F Indicator,Frequency [Rap],Rap F Indicator,Frequency [Rock],Rock F Indicator,Frequency [Video game music],Video game music F Indicator,Anxiety,Depression,Insomnia,OCD,Music effects,Music Effects Number,Permissions,spec_cluster_habits,spec_cluster_mental,spec_cluster_all,prim_habits_cluster,prim_mental_cluster,prim_all_cluster,gmm_cluster_habits,gmm_cluster_mental,gmm_cluster_all,fcm_habits,fcm_mental,fcm_all,kmeans_habits,kmeans_mental,kmeans_all,spec_kmodes_habits,spec_kmodes_genre,spec_kmodes_all,SVD_habits,SVD_mental,SVD_all,PCA_habits,PCA_mental,PCA_all,ICA_habits,ICA_mental,ICA_all,MDS_habits,MDS_mental,MDS_all,t-SNE1,t-SNE2
14,317,8/29/2022 4:57:35,21.0,Spotify,2,4.0,Yes,1.0,Yes,1.0,No,0.0,Rock,2,Yes,1,No,0.0,62.0,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Rarely,1,Very frequently,3,Rarely,1,Never,0,Very frequently,3,Never,0,7.0,4.0,6.0,1.0,Improve,1.0,I understand.,2,1,0,0,3,0,0,0,3,1,0,3,2,0,3,1,0,0,"(0.5532626302378152, -1.8807173919749844)","(0.1947892199341544, -0.6102256562761633)","(0.18745456930275475, -0.8146490987409155)","(0.5532626302378186, -1.8807173919749753)","(0.1947892199341546, -0.6102256562761633)","(0.18745456930275475, -0.8146490987409155)","(0.6302186840481157, -1.8313320902557553)","(0.5184039247979265, -0.4415349959856394)","(0.21595989662379222, -0.7820620467002178)","(-1.6409018616120512, 1.2140466707784905)","(-0.4638162858616411, -0.33834755202839933)","(0.9272660381072271, 1.874195492112585)",11.21865,5.920779
15,632,09/12/2022 18:09,22.0,Spotify,2,6.0,Yes,1.0,No,0.0,No,0.0,Folk,14,Yes,1,No,0.0,63.0,Never,0,Rarely,1,Sometimes,2,Very frequently,3,Never,0,Rarely,1,Rarely,1,Never,0,Sometimes,2,Sometimes,2,Never,0,Rarely,1,Rarely,1,Rarely,1,Very frequently,3,Sometimes,2,8.0,7.0,7.0,3.0,Improve,1.0,I understand.,2,1,0,0,1,0,0,0,0,3,0,2,2,0,0,1,3,0,"(0.973028527166104, -1.8730763891208688)","(1.3781326195847579, -0.4974157656234696)","(1.4373554783721738, -0.507356144069816)","(0.973028527166106, -1.8730763891208615)","(1.3781326195847579, -0.4974157656234699)","(1.4373554783721738, -0.507356144069816)","(0.9958686298346107, -1.7948408295400007)","(1.1025949412446032, 0.16971048256052948)","(-0.6962785390052617, -0.8680952028142653)","(-2.0147313478763116, 0.9676482601343884)","(-1.5154255321719294, 0.26761970540532004)","(-0.4067175497126064, 2.5745343575041337)",14.301234,6.142463
16,7,8/27/2022 22:00:29,18.0,YouTube Music,3,3.0,Yes,1.0,Yes,1.0,No,0.0,Video game music,3,Yes,1,Yes,1.0,66.0,Sometimes,2,Never,0,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Never,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Never,0,Never,0,Sometimes,2,4.0,8.0,6.0,0.0,Improve,1.0,I understand.,2,1,0,0,3,0,0,3,3,1,0,3,2,0,3,0,2,1,"(0.4008829912313525, -1.6853358823530267)","(0.170819928419266, -1.4842825029131086)","(0.15364301183265677, -0.7067736301364588)","(0.40088299123135646, -1.6853358823530151)","(0.1708199284192659, -1.4842825029131095)","(0.15364301183265677, -0.7067736301364588)","(0.48194369279597243, -1.647614062409855)","(1.0919721318459872, -1.2055638901945145)","(0.1930173720270866, -0.675908183401035)","(-1.4690911624605378, 1.1952504919727553)","(-0.8732544337799956, -1.4634268580924126)","(-1.2421935760315006, -0.9527938908756654)",11.787936,2.6594572
17,344,8/29/2022 9:01:49,23.0,Spotify,2,3.0,Yes,1.0,Yes,1.0,Yes,1.0,Rock,2,Yes,1,Yes,1.0,66.0,Rarely,1,Rarely,1,Never,0,Very frequently,3,Never,0,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Very frequently,3,Very frequently,3,Very frequently,3,Sometimes,2,Very frequently,3,Never,0,10.0,7.0,0.0,10.0,Improve,1.0,I understand.,2,3,2,0,1,0,0,2,0,1,2,2,2,2,0,0,2,2,"(0.2850245082838048, -1.801075862799711)","(1.7352543230430966, 2.3799478968436953)","(1.627163388677633, -2.182731963149451)","(0.28502450828380904, -1.8010758627997034)","(1.7352543230430968, 2.379947896843697)","(1.627163388677633, -2.182731963149451)","(0.38993295701781505, -1.7706342294756938)","(-0.6304116921120757, 2.805707835637407)","(-0.12902935099340138, -2.4199875635301047)","(-1.3276292997057768, 1.299438771501527)","(-0.393176419126205, 3.344236380033912)","(0.05129334331539115, 3.953930933503661)",41.362858,-0.02216414
18,351,8/29/2022 9:47:26,18.0,YouTube Music,3,0.5,No,0.0,No,0.0,No,0.0,Rock,2,Yes,1,No,0.0,66.0,Rarely,1,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Rarely,1,Never,0,Very frequently,3,Never,0,5.0,3.0,1.0,0.0,No effect,0.0,I understand.,0,0,3,2,0,1,3,3,3,0,1,1,3,1,2,2,0,0,"(-1.8442827366831966, -1.4185467581244722)","(-1.2857680547943837, -0.27746706121483944)","(-1.3861947385675897, -1.7852561121232122)","(-1.844282736683196, -1.4185467581244597)","(-1.2857680547943833, -0.27746706121483844)","(-1.3861947385675897, -1.7852561121232122)","(-1.4979043252992639, -1.5369822441778351)","(-0.5307441212581645, -0.7977017432089115)","(1.6037235996926535, -1.1953601923919526)","(1.702690431726612, 2.2495846282608967)","(1.1226100306458968, -0.6201035430692983)","(2.311038213404155, 0.6963712046926563)",-17.854696,-2.9618766
19,636,09/12/2022 19:13,49.0,I do not use a streaming service.,6,8.0,Yes,1.0,Yes,1.0,Yes,1.0,Classical,12,No,0,No,0.0,68.0,Very frequently,3,Never,0,Never,0,Never,0,Never,0,Never,0,Rarely,1,Never,0,Never,0,Never,0,Rarely,1,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,4.0,8.0,9.0,1.0,Improve,1.0,I understand.,1,1,0,1,3,2,2,0,1,3,0,2,1,0,1,0,0,2,"(0.7899517065306184, -2.341654821633358)","(0.7660865022227623, -1.5013267966612138)","(0.5188885888552307, 1.9300807836168727)","(0.7899517065306203, -2.341654821633374)","(0.7660865022227621, -1.5013267966612158)","(0.5188885888552307, 1.9300807836168727)","(0.8728801840209324, -2.273206815636957)","(1.4353941963052386, -0.9617081818268358)","(-1.1174707249643367, 1.5750192056487569)","(-2.29894632959118, 2.29063264532547)","(-1.7799088295203267, -1.4505159458627903)","(1.327051433672225, 3.7092335696120187)",21.09585,15.437509
20,514,09/02/2022 5:21,63.0,YouTube Music,3,8.0,Yes,1.0,No,0.0,No,0.0,Rock,2,Yes,1,No,0.0,70.0,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Rarely,1,Rarely,1,Never,0,Sometimes,2,Rarely,1,Never,0,Sometimes,2,Never,0,2.0,1.0,2.0,2.0,Improve,1.0,I understand.,1,0,1,1,2,2,2,1,1,3,1,1,1,3,1,2,0,0,"(0.46535865115922165, -2.6029125354059968)","(-1.8146823639241343, 0.44025384011884366)","(-2.1657774081716794, 1.7342749049194193)","(0.46535865115922437, -2.6029125354060243)","(-1.8146823639241338, 0.44025384011884294)","(-2.1657774081716794, 1.7342749049194193)","(0.6101588410652141, -2.55523947245648)","(-1.3076715225970572, -0.40860935643347435)","(0.6516640236122422, 2.17464884509794)","(-2.2334753475310283, 3.3677967954349515)","(2.0017614524683056, -0.45393559421988033)","(4.458573106858451, 1.147802730824712)",-31.987936,23.370558
21,593,09/07/2022 19:43,29.0,Other streaming service,5,2.0,Yes,1.0,No,0.0,No,0.0,R&B,5,Yes,1,No,0.0,70.0,Rarely,1,Never,0,Very frequently,3,Never,0,Never,0,Very frequently,3,Rarely,1,Rarely,1,Sometimes,2,Sometimes,2,Never,0,Very frequently,3,Very frequently,3,Rarely,1,Never,0,Sometimes,2,10.0,7.0,9.0,3.0,No effect,0.0,I understand.,2,1,2,0,1,0,2,0,0,1,0,2,2,0,3,1,1,3,"(-0.0759004000282437, -1.8140263179817848)","(2.0822485411026426, -0.6806404464930178)","(1.7528494171905873, -0.29987623571916167)","(-0.07590040002823854, -1.8140263179817822)","(2.0822485411026426, -0.6806404464930179)","(1.7528494171905873, -0.29987623571916167)","(0.0760386413649885, -1.8083525023483034)","(1.618313030262402, 0.31756253206297197)","(-0.979786946736053, -0.7737187794696934)","(-0.922758975157583, 1.557352102486455)","(-2.4318462958052613, 0.3942000597598818)","(-0.6539198930541883, 2.990632846726098)",14.345366,7.771885
22,719,10/06/2022 3:35,17.0,Spotify,2,1.0,Yes,1.0,Yes,1.0,No,0.0,Metal,13,Yes,1,Yes,1.0,70.0,Rarely,1,Never,0,Rarely,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Very frequently,3,Very frequently,3,Very frequently,3,Sometimes,2,Never,0,Never,0,Very frequently,3,Very frequently,3,8.0,3.0,9.0,2.0,No effect,0.0,I understand.,2,1,0,0,3,0,0,0,3,1,0,2,2,0,3,1,0,0,"(-0.019356163492594038, -1.5359413065119494)","(0.8104769672666345, -0.48039605669625685)","(0.6652213755430855, -1.0205349900544705)","(-0.019356163492588868, -1.5359413065119365)","(0.8104769672666348, -0.4803960566962575)","(0.6652213755430855, -1.0205349900544705)","(0.10356554006728368, -1.528045795713545)","(0.7745878354007287, -0.06217374071986761)","(-0.000213558125335877, -1.103892515479037)","(-1.1726906497532035, 1.4343442477495991)","(-1.827382472866478, -0.30861816916666307)","(0.6963997111188404, 2.674556883113487)",12.521916,5.514369
23,326,8/29/2022 5:45:03,22.0,Spotify,2,2.0,Yes,1.0,Yes,1.0,Yes,1.0,Pop,10,Yes,1,No,0.0,72.0,Rarely,1,Rarely,1,Never,0,Rarely,1,Rarely,1,Sometimes,2,Sometimes,2,Never,0,Rarely,1,Rarely,1,Never,0,Very frequently,3,Very frequently,3,Sometimes,2,Sometimes,2,Rarely,1,2.0,7.0,1.0,2.0,Improve,1.0,I understand.,2,0,3,0,2,1,0,1,2,1,3,1,2,3,2,0,2,2,"(0.08611217298005999, -1.5891761138783498)","(-0.8780956953039892, -0.2486872692240653)","(-0.9525973302297512, -1.1793121832902553)","(0.08611217298006461, -1.5891761138783418)","(-0.8780956953039891, -0.24868726922406567)","(-0.9525973302297512, -1.1793121832902553)","(0.19976238867753135, -1.5737004574913036)","(-0.32271347290912084, -0.5958169088145452)","(1.0826071593820343, -0.7789898215264127)","(-1.0585818716971125, 1.2706474748810537)","(0.6138317912295079, -1.6045387773930098)","(2.107402591724004, 1.0182859319049735)",-17.33666,-12.195424
