,ID,Timestamp,Age,Primary streaming service,Primary streaming service Indicator,Hours per day,While working,While working Indicator,Instrumentalist,Instrumentalist Indicator,Composer,Composer Indicator,Fav genre,Fav genre Indicator,Exploratory,Exploratory Indicator,Foreign languages,Foreign languages Indicator,BPM,Frequency [Classical],Classical F Indicator,Frequency [Country],Country F Indicator,Frequency [EDM],EDM F Indicator,Frequency [Folk],Folk F Indicator,Frequency [Gospel],Gospel F Indicator,Frequency [Hip hop],Hip hop F Indicator,Frequency [Jazz],Jazz F Indicator,Frequency [K pop],K pop F Indicator,Frequency [Latin],Latin F Indicator,Frequency [Lofi],Lofi F Indicator,Frequency [Metal],Metal F Indicator,Frequency [Pop],Pop F Indicator,Frequency [R&B],R&B F Indicator,Frequency [Rap],Rap F Indicator,Frequency [Rock],Rock F Indicator,Frequency [Video game music],Video game music F Indicator,Anxiety,Depression,Insomnia,OCD,Music effects,Music Effects Number,Permissions,spec_cluster_habits,spec_cluster_mental,spec_cluster_all,prim_habits_cluster,prim_mental_cluster,prim_all_cluster,gmm_cluster_habits,gmm_cluster_mental,gmm_cluster_all,fcm_habits,fcm_mental,fcm_all,kmeans_habits,kmeans_mental,kmeans_all,spec_kmodes_habits,spec_kmodes_genre,spec_kmodes_all,SVD_habits,SVD_mental,SVD_all,PCA_habits,PCA_mental,PCA_all,ICA_habits,ICA_mental,ICA_all,MDS_habits,MDS_mental,MDS_all
10,595,09/08/2022 15:06,18.0,Spotify,2,8.0,Yes,1.0,Yes,1.0,Yes,1.0,Gospel,16,Yes,1,Yes,1.0,56.0,Rarely,1,Never,0,Rarely,1,Never,0,Very frequently,3,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Very frequently,3,Never,0,Sometimes,2,Very frequently,3,Sometimes,2,Never,0,Sometimes,2,3.0,0.0,2.0,2.0,Improve,1.0,I understand.,2,1,1,1,8,2,2,3,6,2,4,1,4,5,2,0,9,0,"(np.float64(1.509410119514997), np.float64(-2.00095233173237))","(np.float64(-1.7942611903951498), np.float64(0.5871277334468544))","(np.float64(-1.4176152864627116), np.float64(-1.0980862873067831))","(np.float64(1.5094101195149965), np.float64(-2.0009523317323783))","(np.float64(-1.79426119039515), np.float64(0.5871277334468585))","(np.float64(-1.4176152864627116), np.float64(-1.0980862873067831))","(np.float64(1.4738944425067713), np.float64(-1.885024645617712))","(np.float64(-1.3949096764535078), np.float64(-0.27310380953537716))","(np.float64(1.3418525309311058), np.float64(-0.572234789352257))","(np.float64(-2.68863599572779), np.float64(0.7911258579185937))","(np.float64(2.0426687678996247), np.float64(-0.22362665080046884))","(np.float64(3.1156858335010074), np.float64(1.460220660569498))"
11,159,8/28/2022 18:57:39,41.0,YouTube Music,3,4.0,Yes,1.0,No,0.0,No,0.0,Pop,10,Yes,1,No,0.0,60.0,Rarely,1,Never,0,Sometimes,2,Very frequently,3,Never,0,Very frequently,3,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Very frequently,3,Very frequently,3,Sometimes,2,Very frequently,3,Rarely,1,7.0,2.0,0.0,7.0,Improve,1.0,I understand.,1,5,0,1,4,6,1,2,4,2,5,4,4,7,6,6,3,9,"(np.float64(0.09001800156589615), np.float64(-2.406491545239804))","(np.float64(-0.20704908380639891), np.float64(2.0964065417813083))","(np.float64(-0.4942307121648164), np.float64(-0.9201245584144047))","(np.float64(0.09001800156589054), np.float64(-2.4064915452397964))","(np.float64(-0.20704908380639742), np.float64(2.096406541781304))","(np.float64(-0.4942307121648164), np.float64(-0.9201245584144047))","(np.float64(0.2672670237123604), np.float64(-2.3858365694839363))","(np.float64(-1.523222812476031), np.float64(1.7176055515146804))","(np.float64(0.6880272096307746), np.float64(-0.6796298921638073))","(np.float64(-1.3749763013653944), np.float64(2.174352375753314))","(np.float64(1.169180814672228), np.float64(1.9122218503135693))","(np.float64(2.2624375033117654), np.float64(2.6195521962946198))"
12,278,8/29/2022 1:54:06,20.0,I do not use a streaming service.,6,1.5,No,0.0,Yes,1.0,Yes,1.0,Video game music,3,No,0,Yes,1.0,60.0,Very frequently,3,Never,0,Never,0,Rarely,1,Rarely,1,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very frequently,3,8.0,4.0,3.0,3.0,Worsen,-1.0,I understand.,0,5,2,0,1,0,5,6,4,1,5,3,3,1,6,2,5,0,"(np.float64(-1.66854209796896), np.float64(-1.6535945031351684))","(np.float64(0.23276025007208276), np.float64(0.3240395489840029))","(np.float64(0.0983855760264902), np.float64(-1.7369541742875636))","(np.float64(-1.6685420979689565), np.float64(-1.6535945031351778))","(np.float64(0.23276025007208315), np.float64(0.32403954898399956))","(np.float64(0.0983855760264902), np.float64(-1.7369541742875636))","(np.float64(-1.3261359041146121), np.float64(-1.7585200495753928))","(np.float64(-0.08778595963774845), np.float64(0.38048756050116594))","(np.float64(0.6499995737212688), np.float64(-1.5805412369912613))","(np.float64(1.513927407954481), np.float64(2.4023683516866448))","(np.float64(0.0055177737298243035), np.float64(0.497982141519895))","(np.float64(1.1074531840777988), np.float64(1.895452617719078))"
13,140,8/28/2022 18:03:50,25.0,Spotify,2,1.5,Yes,1.0,No,0.0,No,0.0,Pop,10,No,0,No,0.0,61.0,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Never,0,Rarely,1,Never,0,Never,0,Never,0,Rarely,1,Rarely,1,Very frequently,3,Very frequently,3,Rarely,1,Very frequently,3,Never,0,6.0,5.0,0.0,2.0,Improve,1.0,I understand.,2,6,2,1,1,0,2,4,2,2,5,4,4,3,6,6,8,2,"(np.float64(-0.0931198109072489), np.float64(-2.003943846076884))","(np.float64(-0.584523450196539), np.float64(0.17982567651975606))","(np.float64(-0.7636275764285898), np.float64(-1.615725959489818))","(np.float64(-0.09311981090725192), np.float64(-2.003943846076889))","(np.float64(-0.5845234501965387), np.float64(0.17982567651975023))","(np.float64(-0.7636275764285898), np.float64(-1.615725959489818))","(np.float64(0.07590856890082019), np.float64(-1.9983143651989763))","(np.float64(-0.4467396089631427), np.float64(-0.09883823101584965))","(np.float64(1.1425937348542068), np.float64(-1.2234953609421697))","(np.float64(-1.168650217429062), np.float64(1.7073353952700794))","(np.float64(0.6378976848671695), np.float64(0.010243245605868317))","(np.float64(1.8544542362074514), np.float64(1.3609104426611327))"
14,317,8/29/2022 4:57:35,21.0,Spotify,2,4.0,Yes,1.0,Yes,1.0,No,0.0,Rock,2,Yes,1,No,0.0,62.0,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Rarely,1,Very frequently,3,Rarely,1,Never,0,Very frequently,3,Never,0,7.0,4.0,6.0,1.0,Improve,1.0,I understand.,2,2,7,1,3,0,0,5,4,2,3,3,4,0,5,4,4,1,"(np.float64(0.5532626302378192), np.float64(-1.8807173919749787))","(np.float64(0.1947892199341547), np.float64(-0.6102256562761641))","(np.float64(0.18745456930275473), np.float64(-0.8146490987409343))","(np.float64(0.5532626302378173), np.float64(-1.8807173919749858))","(np.float64(0.19478921993415435), np.float64(-0.6102256562761621))","(np.float64(0.18745456930275473), np.float64(-0.8146490987409343))","(np.float64(0.6302186840481141), np.float64(-1.8313320902557564))","(np.float64(0.518403924797925), np.float64(-0.44153499598564055))","(np.float64(0.21595989662378856), np.float64(-0.7820620467002153))","(np.float64(-1.640901861612047), np.float64(1.2140466707784934))","(np.float64(-0.46381628586164303), np.float64(-0.33834755202839695))","(np.float64(0.9272660381072165), np.float64(1.8741954921125932))"
15,632,09/12/2022 18:09,22.0,Spotify,2,6.0,Yes,1.0,No,0.0,No,0.0,Folk,14,Yes,1,No,0.0,63.0,Never,0,Rarely,1,Sometimes,2,Very frequently,3,Never,0,Rarely,1,Rarely,1,Never,0,Sometimes,2,Sometimes,2,Never,0,Rarely,1,Rarely,1,Rarely,1,Very frequently,3,Sometimes,2,8.0,7.0,7.0,3.0,Improve,1.0,I understand.,2,2,7,1,0,0,2,6,4,2,6,2,4,0,5,6,2,4,"(np.float64(0.9730285271661082), np.float64(-1.8730763891208637))","(np.float64(1.3781326195847576), np.float64(-0.49741576562346995))","(np.float64(1.4373554783721734), np.float64(-0.5073561440698356))","(np.float64(0.9730285271661065), np.float64(-1.8730763891208695))","(np.float64(1.378132619584758), np.float64(-0.4974157656234693))","(np.float64(1.4373554783721734), np.float64(-0.5073561440698356))","(np.float64(0.995868629834609), np.float64(-1.7948408295400018))","(np.float64(1.1025949412446034), np.float64(0.16971048256052726))","(np.float64(-0.6962785390052666), np.float64(-0.8680952028142586))","(np.float64(-2.0147313478763103), np.float64(0.9676482601343923))","(np.float64(-1.5154255321719285), np.float64(0.2676197054053279))","(np.float64(-0.4067175497126198), np.float64(2.574534357504138))"
16,7,8/27/2022 22:00:29,18.0,YouTube Music,3,3.0,Yes,1.0,Yes,1.0,No,0.0,Video game music,3,Yes,1,Yes,1.0,66.0,Sometimes,2,Never,0,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Never,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Never,0,Never,0,Sometimes,2,4.0,8.0,6.0,0.0,Improve,1.0,I understand.,2,2,7,1,3,0,0,1,1,2,3,3,4,0,5,7,2,6,"(np.float64(0.40088299123135557), np.float64(-1.6853358823530196))","(np.float64(0.1708199284192658), np.float64(-1.4842825029131097))","(np.float64(0.1536430118326558), np.float64(-0.7067736301364741))","(np.float64(0.40088299123135424), np.float64(-1.685335882353029))","(np.float64(0.17081992841926505), np.float64(-1.4842825029131061))","(np.float64(0.1536430118326558), np.float64(-0.7067736301364741))","(np.float64(0.4819436927959712), np.float64(-1.647614062409856))","(np.float64(1.0919721318459832), np.float64(-1.2055638901945152))","(np.float64(0.19301737202708358), np.float64(-0.6759081834010334))","(np.float64(-1.4690911624605334), np.float64(1.195250491972758))","(np.float64(-0.8732544337800071), np.float64(-1.463426858092405))","(np.float64(-1.2421935760315002), np.float64(-0.9527938908756358))"
17,344,8/29/2022 9:01:49,23.0,Spotify,2,3.0,Yes,1.0,Yes,1.0,Yes,1.0,Rock,2,Yes,1,Yes,1.0,66.0,Rarely,1,Rarely,1,Never,0,Very frequently,3,Never,0,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Very frequently,3,Very frequently,3,Very frequently,3,Sometimes,2,Very frequently,3,Never,0,10.0,7.0,0.0,10.0,Improve,1.0,I understand.,2,0,0,1,0,6,0,2,0,2,2,2,4,7,7,4,0,2,"(np.float64(0.285024508283809), np.float64(-1.8010758627997066))","(np.float64(1.7352543230430957), np.float64(2.379947896843699))","(np.float64(1.6271633886776338), np.float64(-2.182731963149477))","(np.float64(0.28502450828380677), np.float64(-1.801075862799712))","(np.float64(1.735254323043098), np.float64(2.379947896843688))","(np.float64(1.6271633886776338), np.float64(-2.182731963149477))","(np.float64(0.3899329570178135), np.float64(-1.770634229475695))","(np.float64(-0.6304116921120658), np.float64(2.805707835637406))","(np.float64(-0.1290293509934095), np.float64(-2.419987563530101))","(np.float64(-1.3276292997057741), np.float64(1.2994387715015296))","(np.float64(-0.39317641912618384), np.float64(3.3442363800339137))","(np.float64(0.05129334331536218), np.float64(3.9539309335036616))"
18,351,8/29/2022 9:47:26,18.0,YouTube Music,3,0.5,No,0.0,No,0.0,No,0.0,Rock,2,Yes,1,No,0.0,66.0,Rarely,1,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Rarely,1,Never,0,Very frequently,3,Never,0,5.0,3.0,1.0,0.0,No effect,0.0,I understand.,0,7,2,0,1,2,5,1,1,1,1,1,3,1,6,3,4,1,"(np.float64(-1.8442827366831962), np.float64(-1.4185467581244695))","(np.float64(-1.2857680547943833), np.float64(-0.2774670612148392))","(np.float64(-1.3861947385675892), np.float64(-1.7852561121232267))","(np.float64(-1.8442827366831924), np.float64(-1.4185467581244802))","(np.float64(-1.2857680547943835), np.float64(-0.2774670612148413))","(np.float64(-1.3861947385675892), np.float64(-1.7852561121232267))","(np.float64(-1.497904325299264), np.float64(-1.5369822441778342))","(np.float64(-0.5307441212581655), np.float64(-0.797701743208912))","(np.float64(1.6037235996926498), np.float64(-1.195360192391957))","(np.float64(1.7026904317266136), np.float64(2.2495846282608962))","(np.float64(1.1226100306459013), np.float64(-0.6201035430692875))","(np.float64(2.3110382134041494), np.float64(0.6963712046926763))"
19,636,09/12/2022 19:13,49.0,I do not use a streaming service.,6,8.0,Yes,1.0,Yes,1.0,Yes,1.0,Classical,12,No,0,No,0.0,68.0,Very frequently,3,Never,0,Never,0,Never,0,Never,0,Never,0,Rarely,1,Never,0,Never,0,Never,0,Rarely,1,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,4.0,8.0,9.0,1.0,Improve,1.0,I understand.,1,2,7,5,3,8,1,5,5,3,3,2,1,0,5,4,5,0,"(np.float64(0.7899517065306285), np.float64(-2.3416548216333672))","(np.float64(0.7660865022227621), np.float64(-1.5013267966612158))","(np.float64(0.5188885888552297), np.float64(1.9300807836168399))","(np.float64(0.7899517065306224), np.float64(-2.3416548216333526))","(np.float64(0.7660865022227611), np.float64(-1.5013267966612078))","(np.float64(0.5188885888552297), np.float64(1.9300807836168399))","(np.float64(0.8728801840209284), np.float64(-2.2732068156369563))","(np.float64(1.4353941963052337), np.float64(-0.9617081818268354))","(np.float64(-1.1174707249643352), np.float64(1.5750192056487669))","(np.float64(-2.298946329591174), np.float64(2.2906326453254726))","(np.float64(-1.779908829520333), np.float64(-1.4505159458627817))","(np.float64(1.327051433672212), np.float64(3.7092335696120236))"
